developer_id,age,gender,city,state,marital_status,education_level,company_type,company_size,job_role,employment_type,experience_years,salary_lpa,years_in_current_company,promotion_last_2_years,remote_work_ratio,weekly_work_hours,weekend_work_frequency,night_shift_frequency,layoffs_seen_in_company,number_of_switches,primary_language,tech_stack,ai_tools_usage_hours_per_week,upskilling_hours_per_week,leetcode_problems_solved,certifications_count,side_projects_count,github_activity_score,interview_preparation_hours_weekly,stress_level,burnout_score,anxiety_score,sleep_hours,caffeine_intake_per_day,work_life_balance_rating,imposter_syndrome_score,social_media_usage_hours,physical_activity_days_per_week,therapy_or_counseling,layoff_anxiety_score,ai_replacement_fear_score,job_security_confidence,emergency_savings_months,linkedin_job_search_activity,applied_jobs_last_30_days,burnout_risk_category,likely_to_switch_job,mentally_exhausted,high_layoff_risk
Dev00011,26,Male,Kochi,Kerala,Single,Bca,Product-Based,201-1000,Backend Developer,Full-Time,5.9,37.94,1.1,No,100,50.6,Often,Often,Yes - Minor (<5%),4,Typescript,Angular/Nestjs/Mysql,3.5,14.3,249.0,0.0,3.0,18.6,1.2,7.8,6.6,7.0,7.9,2.0,5.1,1.2,2.8,3,No,4.8,3.0,7.6,5.0,,1,Medium,Maybe,No,No
Dev00012,26,Non-Binary,Bengaluru,Karnataka,Single,Phd,Consulting,51-200,Devops Engineer,Full-Time,2.3,16.04,2.3,Yes,0,94.1,Sometimes,Never,Yes - Minor (<5%),3,C++,Qt/Cmake/Linux,6.1,0.5,82.0,1.0,2.0,52.8,1.6,7.8,10.0,7.4,5.5,3.0,2.4,4.5,6.9,1,No,5.4,5.8,7.0,1.0,Low,3,High,Maybe,Yes,No
Dev00013,29,Male,Bengaluru,Karnataka,Married,Bca,Consulting,11-50,Data Engineer,Full-Time,7.7,29.97,1.7,No,19,39.2,Rarely,Often,Yes - Major (>20%),2,Python,Django/Fastapi/Postgres,9.0,1.4,370.0,0.0,1.0,44.4,1.4,3.9,4.8,5.0,7.4,0.0,6.7,5.3,1.8,2,Yes - Regularly,6.5,5.0,5.5,3.0,Medium,4,Low,No,Yes,No
Dev00014,21,Female,Delhi,Delhi,Single,Mca,Product-Based,201-1000,Cybersecurity Analyst,Contract,11.0,47.66,2.1,Yes,21,40.4,Often,Rarely,No,2,Php,Laravel/Mysql/Nginx,13.9,8.5,73.0,3.0,3.0,12.6,3.4,4.2,3.0,3.6,6.6,3.0,8.9,1.7,1.2,4,Yes - Occasionally,4.6,4.7,7.8,5.0,,2,Low,No,No,No
Dev00015,21,Male,Pune,Maharashtra,Single,B.Tech,Startup,1-10,Frontend Developer,Full-Time,3.7,30.64,3.7,No,23,53.3,Sometimes,Rarely,No,2,Python,Flask/Redis/Aws,1.0,1.5,372.0,2.0,1.0,25.2,1.2,5.4,4.1,4.2,6.9,4.0,6.0,4.4,6.2,3,No,4.9,5.6,8.2,15.0,,3,Low,No,Yes,No
Dev00016,25,Male,Bengaluru,Karnataka,Married,M.Tech,Service-Based,5000+,Frontend Developer,Freelance,1.2,19.62,0.4,No,0,44.1,Sometimes,Never,Yes - Moderate (5-20%),2,Kotlin,Android/Jetpack/Firebase,8.7,13.0,49.0,1.0,2.0,27.6,2.2,4.3,2.4,2.7,7.3,3.0,8.6,5.8,0.5,1,Yes - Regularly,5.7,7.2,5.4,,Very High,5,Low,No,No,No
Dev00017,23,Male,Hyderabad,Telangana,Single,B.E,Service-Based,5000+,Devops Engineer,Full-Time,10.8,28.48,0.8,No,60,53.2,Often,Never,Yes - Major (>20%),0,Kotlin,Android/Jetpack/Firebase,1.1,2.1,268.0,0.0,0.0,4.2,0.2,5.2,4.3,4.6,5.9,5.0,8.7,5.1,0.4,1,No,7.1,4.5,5.9,1.0,Low,2,Low,No,Yes,Yes
Dev00018,30,Male,Mumbai,Maharashtra,In A Relationship,B.Tech,Startup,51-200,Cloud Engineer,Full-Time,1.7,10.69,1.7,Yes,41,38.8,Sometimes,Rarely,Yes - Major (>20%),5,Go,Fiber/Postgresql/Docker,19.0,8.9,202.0,1.0,2.0,47.8,4.1,5.6,4.0,5.4,5.8,3.0,5.9,6.9,0.7,4,No,4.3,6.0,7.6,8.0,Low,2,Low,No,No,No
Dev00019,23,Female,Gurugram,Haryana,Single,B.Tech,Consulting,201-1000,Full Stack Developer,Full-Time,1.6,18.36,1.5,No,4,53.5,Always,Never,No,2,Kotlin,Android/Jetpack/Firebase,0.6,5.3,42.0,0.0,1.0,30.4,1.5,5.4,6.2,6.5,5.6,3.0,6.6,4.4,2.5,1,No,4.2,7.5,6.8,16.0,Low,6,Medium,Maybe,No,No
Dev00020,21,Non-Binary,Bengaluru,Karnataka,In A Relationship,B.Tech,Product-Based,1001-5000,Full Stack Developer,Full-Time,3.6,113.01,2.4,No,25,48.0,Sometimes,Never,Yes - Minor (<5%),2,Python,Pandas/Spark/Airflow,2.6,1.6,694.0,2.0,3.0,14.9,3.5,4.4,3.8,4.3,5.4,3.0,7.4,4.3,2.8,6,No,2.9,3.3,7.4,6.0,Medium,4,Low,No,Yes,No
Dev00021,36,Male,Bengaluru,Karnataka,Single,M.Tech,Product-Based,1001-5000,Backend Developer,Contract,4.1,23.33,4.1,No,56,34.8,Always,Never,Yes - Major (>20%),2,Php,Laravel/Mysql/Nginx,30.0,3.6,59.0,2.0,4.0,39.4,4.3,5.0,2.7,5.2,8.1,0.0,6.7,6.4,8.0,1,No,5.2,3.8,4.1,10.0,Low,4,Low,No,No,No
Dev00022,27,Male,Kolkata,West Bengal,Married,B.Sc Cs,Product-Based,5000+,Backend Developer,Full-Time,8.6,42.6,8.1,No,77,50.0,Rarely,Rarely,Yes - Major (>20%),2,Javascript,React/Node/Firebase,1.3,2.4,103.0,2.0,1.0,24.6,3.2,4.8,5.3,2.5,3.7,5.0,6.2,3.5,1.7,6,No,2.5,1.0,9.6,6.0,Low,1,Medium,No,Yes,No
Dev00023,28,Female,Noida,Uttar Pradesh,Single,B.Tech,Service-Based,1001-5000,Ml Engineer,Freelance,2.5,9.45,1.1,No,5,52.8,Rarely,Never,No,1,Java,Hibernate/Oracle/Jenkins,8.8,12.1,171.0,1.0,1.0,15.2,4.9,4.7,4.8,3.8,7.6,2.0,6.8,5.8,3.5,4,No,3.6,5.6,6.5,2.0,High,9,Low,Maybe,No,No
Dev00024,21,Female,Mumbai,Maharashtra,Married,B.E,Service-Based,1001-5000,Backend Developer,Full-Time,0.9,13.64,0.9,Yes,17,56.7,Sometimes,Sometimes,Yes - Minor (<5%),1,Python,Pytorch/Kubernetes,8.9,,23.0,1.0,2.0,33.8,7.2,5.4,5.4,4.1,3.8,4.0,8.1,3.2,1.0,2,No,6.4,7.6,3.7,1.0,High,3,Medium,Maybe,No,No
Dev00025,25,Male,Gurugram,Haryana,Single,Mca,Service-Based,5000+,Frontend Developer,Full-Time,6.3,16.81,1.1,Yes,37,48.4,Sometimes,Never,Yes - Moderate (5-20%),4,Javascript,Node/Express/Mongodb,2.4,25.0,78.0,2.0,1.0,7.5,1.2,5.3,3.6,3.8,7.3,4.0,7.9,5.8,2.5,2,No,4.8,4.6,6.4,8.0,High,9,Low,Yes,No,No
Dev00026,29,Male,Pune,Maharashtra,Single,B.Tech,Service-Based,1001-5000,Frontend Developer,Full-Time,5.9,12.23,4.7,Yes,0,42.3,Sometimes,Never,Yes - Minor (<5%),3,Python,Flask/Redis/Aws,3.3,10.5,113.0,1.0,3.0,27.1,1.4,5.3,2.7,3.9,7.5,2.0,7.8,8.5,5.4,1,No,4.5,4.8,6.4,3.0,Medium,4,Low,No,No,No
Dev00027,22,Male,Noida,Uttar Pradesh,Married,B.Tech,Startup,51-200,Data Scientist,Full-Time,9.5,27.92,2.0,Yes,100,37.7,Always,Often,Yes - Minor (<5%),1,Python,Pandas/Spark/Airflow,0.9,12.9,136.0,3.0,0.0,16.9,2.1,4.8,2.9,4.9,7.6,3.0,8.7,5.2,5.0,5,Yes - Regularly,3.1,4.2,8.6,2.0,Medium,5,Low,No,No,No
Dev00028,30,Male,Hyderabad,Telangana,Single,B.Tech,Service-Based,1001-5000,Backend Developer,Full-Time,3.3,15.07,1.9,No,24,50.6,Never,Never,Yes - Minor (<5%),0,Java,Microservices/Kafka/Docker,1.1,5.1,,1.0,5.0,56.9,4.1,4.5,6.2,3.1,5.6,1.0,5.6,1.7,3.9,1,Yes - Occasionally,2.7,5.2,7.8,15.0,Low,2,Medium,No,No,No
Dev00029,25,Male,Hyderabad,Telangana,Single,B.Sc Cs,Service-Based,1001-5000,Data Scientist,Full-Time,2.1,20.06,1.3,No,40,81.3,Sometimes,Sometimes,Yes - Moderate (5-20%),0,Python,Pytorch/Kubernetes,2.4,3.3,115.0,1.0,1.0,7.9,5.5,5.8,8.4,5.5,5.8,3.0,3.7,4.8,2.8,0,No,7.2,6.2,4.6,5.0,Low,8,High,Yes,Yes,Yes
Dev00030,26,Male,Noida,Uttar Pradesh,Single,B.Tech,Freelance,1-10,Data Engineer,Contract,3.7,25.55,0.8,Yes,100,39.3,Rarely,Sometimes,No,1,C++,Qt/Cmake/Linux,11.4,4.7,555.0,1.0,3.0,30.4,1.9,2.6,3.0,4.5,5.7,2.0,8.8,5.7,0.9,2,No,5.0,5.8,5.4,3.0,Very High,8,Low,Maybe,No,No
Dev00031,25,Male,Pune,Maharashtra,Married,Mca,Freelance,1-10,Backend Developer,Full-Time,1.4,17.21,1.4,No,86,60.4,Sometimes,Often,No,2,Python,Flask/Redis/Aws,4.9,9.3,135.0,1.0,3.0,0.0,5.1,5.0,4.9,3.9,6.1,2.0,6.0,8.4,4.2,2,No,5.1,5.4,7.9,7.0,Low,6,Low,No,Yes,No
Dev00032,38,Male,Coimbatore,Tamil Nadu,Single,Mba Tech,Product-Based,5000+,Devops Engineer,Full-Time,1.5,18.93,1.2,Yes,35,53.1,Always,Rarely,Yes - Moderate (5-20%),2,Javascript,React/Node/Firebase,4.9,,147.0,1.0,0.0,27.4,3.8,5.3,4.5,3.9,6.1,1.0,7.5,2.7,2.0,1,No,7.1,10.0,4.9,4.0,Medium,4,Low,No,No,Yes
Dev00033,28,Male,Hyderabad,Telangana,Single,M.Tech,Service-Based,1001-5000,Cloud Engineer,Freelance,8.5,27.08,2.8,No,19,50.1,Often,Rarely,Yes - Moderate (5-20%),1,Javascript,Node/Express/Mongodb,13.8,0.4,89.0,1.0,2.0,8.6,0.7,3.1,3.4,4.0,7.8,3.0,7.3,4.7,2.7,5,No,5.5,7.5,5.4,6.0,,6,Low,No,No,No
Dev00034,22,Female,Kolkata,West Bengal,Single,B.Tech,Freelance,1-10,Full Stack Developer,Full-Time,3.5,22.2,3.5,No,77,43.5,Rarely,Never,Yes - Major (>20%),2,Javascript,Node/Express/Mongodb,7.2,4.0,80.0,0.0,3.0,14.6,5.2,6.3,7.2,5.9,5.3,3.0,3.5,4.8,1.5,2,No,5.8,3.3,5.5,7.0,Very High,3,Medium,Yes,Yes,No
Dev00035,32,Male,Kolkata,West Bengal,Married,Mca,Product-Based,5000+,Backend Developer,Full-Time,3.7,39.61,2.0,No,62,36.6,Often,Often,No,3,Python,Pandas/Spark/Airflow,23.7,2.6,87.0,2.0,1.0,15.5,3.2,5.4,3.3,5.4,6.2,6.0,7.5,3.5,1.2,0,No,4.1,4.2,8.6,5.0,Medium,5,Low,No,Yes,No
Dev00036,22,Male,Hyderabad,Telangana,Married,Bca,Service-Based,5000+,Backend Developer,Full-Time,6.7,18.28,0.9,No,61,67.5,Sometimes,Sometimes,No,2,Kotlin,Android/Jetpack/Firebase,3.1,1.6,410.0,3.0,2.0,30.3,5.2,8.9,8.3,9.0,5.2,5.0,4.9,6.6,2.0,3,No,6.2,6.7,6.5,9.0,High,2,High,Maybe,Yes,No
Dev00037,29,Female,Gurugram,Haryana,Single,B.Tech,Service-Based,5000+,Devops Engineer,Freelance,3.5,14.42,0.5,No,75,50.2,Sometimes,Rarely,No,5,Typescript,Angular/Nestjs/Mysql,1.9,,111.0,3.0,2.0,5.6,0.2,4.0,4.5,3.9,4.1,2.0,6.4,6.0,1.4,2,Yes - Occasionally,4.0,7.4,7.0,3.0,High,5,Low,Maybe,No,No
Dev00038,21,Female,Pune,Maharashtra,Single,B.Tech,Product-Based,51-200,Ml Engineer,Full-Time,0.5,26.72,0.5,Yes,79,48.6,Rarely,Never,No,2,Rust,Axum/Diesel/Gcp,3.1,2.1,13.0,0.0,2.0,25.2,1.0,5.6,5.0,3.8,6.3,3.0,5.1,4.1,3.5,1,Yes - Regularly,5.2,3.9,6.4,1.0,,4,Medium,No,No,No
Dev00039,21,Male,Kolkata,West Bengal,Single,Mca,Product-Based,201-1000,Frontend Developer,Full-Time,2.2,28.83,0.4,Yes,61,49.8,Sometimes,Never,Yes - Minor (<5%),4,C++,Embedded/Rtos/Bazel,2.9,1.0,156.0,0.0,3.0,21.7,6.2,5.8,5.2,5.1,7.0,0.0,5.7,3.4,3.0,5,No,4.0,4.1,6.8,3.0,Low,2,Medium,No,Yes,No
Dev00040,29,Male,Pune,Maharashtra,Single,M.Tech,Service-Based,1001-5000,Cloud Engineer,Part-Time,2.4,18.43,0.1,No,15,52.1,Sometimes,Rarely,No,2,Kotlin,Android/Jetpack/Firebase,6.9,3.6,36.0,0.0,4.0,22.1,1.6,5.9,6.7,5.9,4.9,3.0,5.4,6.3,1.7,4,No,3.8,3.5,6.6,2.0,Medium,4,Medium,No,Yes,No
Dev00041,32,Female,Noida,Uttar Pradesh,Single,B.Tech,Startup,51-200,Qa Engineer,Contract,18.0,60.52,2.2,Yes,18,63.4,Sometimes,Never,No,3,Go,Fiber/Postgresql/Docker,1.5,19.4,87.0,3.0,1.0,,11.3,5.7,6.6,5.8,6.5,4.0,6.4,2.9,2.8,0,No,6.0,6.3,6.6,6.0,Low,8,High,Maybe,Yes,No
Dev00042,29,Female,Pune,Maharashtra,Single,Mba Tech,Freelance,1-10,Full Stack Developer,Full-Time,7.8,31.78,0.4,Yes,86,85.9,Often,Never,No,0,Go,Echo/Redis/Gcp,4.1,1.6,14.0,2.0,3.0,1.3,3.0,10.0,10.0,7.6,4.6,4.0,2.2,5.3,2.0,1,No,3.1,3.9,9.6,6.0,High,6,High,Yes,Yes,No
Dev00043,27,Non-Binary,Hyderabad,Telangana,Married,M.Tech,Government/Psu,1001-5000,Android Developer,Contract,3.6,16.97,1.2,Yes,63,35.5,Always,Rarely,No,5,Python,Django/Fastapi/Postgres,2.5,1.2,42.0,1.0,2.0,0.0,0.9,7.0,3.7,2.4,7.8,1.0,7.0,4.7,0.2,4,Yes - Occasionally,2.1,6.5,9.1,3.0,Low,0,Medium,No,No,No
Dev00044,26,Female,Bengaluru,Karnataka,In A Relationship,B.E,Product-Based,51-200,Frontend Developer,Contract,1.5,34.15,1.5,No,0,54.3,Sometimes,Sometimes,Yes - Moderate (5-20%),1,Python,Pandas/Spark/Airflow,3.4,5.4,183.0,2.0,2.0,23.2,0.3,5.2,6.1,4.6,4.8,4.0,7.0,7.6,0.8,3,No,5.4,7.6,6.5,1.0,,4,Medium,No,Yes,No
Dev00045,21,Male,Pune,Maharashtra,Single,B.Tech,Product-Based,51-200,Devops Engineer,Full-Time,1.0,28.54,1.0,No,39,50.1,Sometimes,Rarely,Yes - Moderate (5-20%),0,Go,Gin/Grpc/Kubernetes,1.4,1.4,70.0,2.0,1.0,25.6,4.7,1.9,3.0,1.8,6.6,4.0,8.2,2.0,2.0,4,Yes - Occasionally,5.5,6.6,6.6,9.0,Very High,8,Low,Maybe,Yes,No
Dev00046,24,Male,Noida,Uttar Pradesh,Married,Mba Tech,Startup,11-50,Backend Developer,Full-Time,8.6,30.69,2.4,Yes,55,84.2,Often,Never,Yes - Minor (<5%),1,Python,Pytorch/Kubernetes,4.5,6.3,17.0,2.0,0.0,39.3,2.8,8.9,10.0,8.6,5.2,3.0,4.1,5.2,0.6,1,No,5.5,5.1,8.7,,Low,3,High,No,Yes,No
Dev00047,26,Male,Mumbai,Maharashtra,Married,B.Tech,Service-Based,5000+,Qa Engineer,Full-Time,13.5,30.39,4.8,No,56,44.7,Never,Never,Yes - Minor (<5%),0,Javascript,Vue/Django/Postgresql,5.0,4.9,173.0,1.0,0.0,6.9,0.1,3.9,3.1,3.1,6.8,3.0,7.1,6.5,0.6,2,Yes - Occasionally,3.0,1.0,8.6,2.0,,3,Low,No,Yes,No
Dev00048,33,Male,Chennai,Tamil Nadu,Single,Mca,Service-Based,201-1000,Frontend Developer,Full-Time,0.6,12.13,0.6,No,16,53.8,Often,Rarely,No,3,Python,Pytorch/Kubernetes,0.9,12.8,4.0,2.0,2.0,31.3,0.6,4.1,4.8,3.8,7.5,4.0,5.6,3.2,1.4,2,No,2.8,5.5,7.9,1.0,Low,0,Low,No,No,No
Dev00049,30,Male,Hyderabad,Telangana,Married,Mca,Product-Based,201-1000,Ml Engineer,Full-Time,11.4,51.64,1.3,Yes,0,50.7,Sometimes,Sometimes,No,4,Python,Flask/Redis/Aws,0.8,1.4,205.0,1.0,3.0,5.3,0.6,5.0,6.2,5.1,4.9,4.0,6.4,8.2,0.3,2,No,4.6,5.4,8.0,4.0,Low,2,Medium,Maybe,Yes,No
Dev00050,21,Male,Pune,Maharashtra,Single,B.Sc Cs,Service-Based,5000+,Frontend Developer,Full-Time,2.2,11.42,0.9,No,23,57.9,Sometimes,Sometimes,Yes - Major (>20%),1,Java,Hibernate/Oracle/Jenkins,0.7,9.7,122.0,2.0,3.0,26.4,9.4,6.5,6.1,5.1,6.2,5.0,6.1,4.2,1.3,3,No,5.8,5.3,6.3,2.0,Medium,3,Medium,No,Yes,No
Dev00051,30,Male,Bengaluru,Karnataka,Single,Bca,Service-Based,5000+,Qa Engineer,Freelance,1.4,13.85,1.4,Yes,56,45.2,Rarely,Never,Yes - Minor (<5%),2,Python,Django/Fastapi/Postgres,1.6,6.2,237.0,0.0,2.0,0.0,7.6,5.6,4.5,3.7,5.5,3.0,7.2,4.5,3.1,6,No,6.6,7.9,3.3,5.0,Medium,4,Low,No,No,No
Dev00052,26,Female,Gurugram,Haryana,Married,B.Tech,Product-Based,5000+,Backend Developer,Full-Time,1.3,18.39,1.3,No,84,47.7,Never,Rarely,Yes - Minor (<5%),0,C++,Qt/Cmake/Linux,0.7,2.9,,0.0,1.0,30.3,0.2,7.1,5.0,6.8,5.2,2.0,7.1,6.7,2.4,4,No,6.7,8.1,5.4,8.0,Low,3,Medium,No,Yes,No
Dev00053,24,Male,Coimbatore,Tamil Nadu,Single,Mca,Consulting,201-1000,Frontend Developer,Full-Time,6.9,6.37,0.5,Yes,80,32.0,Often,Rarely,Yes - Minor (<5%),3,Python,Flask/Redis/Aws,3.0,1.7,48.0,2.0,3.0,64.1,4.1,4.4,3.5,2.7,6.4,1.0,7.8,5.9,3.1,1,No,3.3,3.8,7.4,1.0,,4,Low,No,No,No
Dev00054,31,Male,Pune,Maharashtra,Single,B.Tech,Product-Based,51-200,Frontend Developer,Full-Time,3.1,33.59,2.5,No,60,43.3,Always,Sometimes,Yes - Moderate (5-20%),1,Go,Echo/Redis/Gcp,1.5,1.4,34.0,2.0,0.0,1.8,3.1,7.3,6.7,4.3,6.0,2.0,4.8,3.7,8.0,5,No,3.6,2.8,6.7,3.0,Medium,4,Low,No,No,No
Dev00055,33,Male,Bengaluru,Karnataka,Single,Mba Tech,Government/Psu,1001-5000,Backend Developer,Full-Time,10.0,15.3,1.3,Yes,3,47.4,Sometimes,Rarely,Yes - Moderate (5-20%),2,Javascript,Node/Express/Mongodb,6.8,2.9,160.0,2.0,2.0,10.2,1.9,5.0,4.7,4.6,6.2,5.0,6.4,4.9,4.7,3,No,4.6,3.3,6.1,6.0,Low,6,Low,No,Yes,No
Dev00056,33,Male,Bengaluru,Karnataka,Single,B.Tech,Freelance,1-10,Android Developer,Part-Time,2.0,27.19,2.0,No,95,52.6,Rarely,Sometimes,Yes - Major (>20%),4,Python,Flask/Redis/Aws,12.3,2.1,,2.0,2.0,21.4,4.7,3.6,5.1,1.6,6.1,1.0,7.2,2.0,1.4,3,Yes - Occasionally,5.3,5.6,4.9,3.0,High,5,Medium,Maybe,Yes,No
Dev00057,24,Female,Chennai,Tamil Nadu,Married,Bca,Service-Based,5000+,Product Manager,Full-Time,5.9,16.09,2.8,No,59,48.9,Rarely,Never,No,3,Java,Spring Boot/Mysql/Aws,3.6,4.7,165.0,1.0,1.0,14.4,1.7,6.9,5.9,6.0,7.6,4.0,7.2,6.9,2.7,1,No,5.8,4.7,6.3,3.0,,6,Medium,No,No,No
Dev00058,26,Female,Chennai,Tamil Nadu,Single,Bca,Startup,51-200,Android Developer,Full-Time,1.1,23.2,1.1,No,25,56.2,Never,Never,Yes - Major (>20%),1,Java,Microservices/Kafka/Docker,2.5,2.6,114.0,4.0,1.0,0.8,7.1,5.1,3.8,3.7,6.8,5.0,9.9,5.2,0.2,2,,6.0,7.6,4.5,2.0,Low,3,Low,No,Yes,No
Dev00059,30,Prefer Not To Say,Gurugram,Haryana,Single,Bca,Startup,11-50,Cybersecurity Analyst,Part-Time,1.4,31.29,1.2,No,20,42.9,Often,Never,Yes - Minor (<5%),0,Python,Pytorch/Kubernetes,4.3,1.3,,0.0,3.0,19.3,0.1,6.4,5.8,2.8,4.8,3.0,5.7,5.7,,5,No,4.2,8.5,8.0,6.0,,2,Medium,No,No,No
Dev00060,33,Male,Hyderabad,Telangana,Single,B.Tech,Product-Based,1001-5000,Backend Developer,Full-Time,1.8,12.2,1.1,Yes,100,36.0,Sometimes,Rarely,Yes - Major (>20%),1,Rust,Axum/Diesel/Gcp,1.2,8.0,82.0,1.0,3.0,28.7,4.9,2.5,1.3,1.8,7.2,1.0,9.1,4.4,2.0,0,Yes - Occasionally,5.0,7.3,5.8,13.0,Low,3,Low,No,No,No
Dev00061,26,Male,Gurugram,Haryana,Single,M.Tech,Service-Based,5000+,Backend Developer,Full-Time,8.3,27.58,0.3,Yes,0,50.4,Always,Sometimes,Yes - Moderate (5-20%),0,Java,Hibernate/Oracle/Jenkins,7.4,2.9,363.0,3.0,1.0,22.2,0.4,5.2,4.9,4.2,7.1,1.0,6.1,4.8,0.3,5,No,8.9,7.4,2.4,,High,8,Low,Yes,No,Yes
Dev00062,27,Male,Chennai,Tamil Nadu,In A Relationship,B.Tech,Service-Based,1001-5000,Ml Engineer,Full-Time,5.6,24.36,3.9,No,23,46.1,Often,Never,Yes - Major (>20%),0,Javascript,React/Node/Firebase,3.9,3.6,110.0,3.0,4.0,14.0,7.1,3.3,3.3,5.4,6.7,2.0,8.5,8.3,0.2,1,No,8.1,9.8,4.6,3.0,,4,Low,No,No,Yes
